Timestamp,B01a - VWC (DIELEC/1/5TE) ,B01a - Weight (g)
2021-06-14T00:00:00,0.20146,6167.96
2021-06-14T00:03:00,0.20146,6293.54
2021-06-14T00:06:00,0.20146,6242.45
2021-06-14T00:09:00,0.20146,6239.87
2021-06-14T00:12:00,0.20146,6239.22
2021-06-14T00:15:00,0.20146,6238.79
2021-06-14T00:18:00,0.20146,6239.07
2021-06-14T00:21:00,0.20146,6238.62
2021-06-14T00:24:00,0.20146,6238.24
2021-06-14T00:27:00,0.20146,6238.33
2021-06-14T00:30:00,0.20146,6237.33
2021-06-14T00:33:00,0.20165,6267.25
2021-06-14T00:36:00,0.20165,6243.53
2021-06-14T00:39:00,0.20184,6243.31
2021-06-14T00:42:00,0.20146,6242.84
2021-06-14T00:45:00,0.20146,6242.79
2021-06-14T00:48:00,0.20146,6268.12
2021-06-14T00:51:00,0.20146,6246.23
2021-06-14T00:54:00,0.20165,6245.31
2021-06-14T00:57:00,0.20165,6245.22
2021-06-14T01:00:00,0.20165,6244.65
2021-06-14T01:03:00,0.20184,6244.75
2021-06-14T01:06:00,0.20146,6245.36
2021-06-14T01:09:00,0.20146,6244.16
2021-06-14T01:12:00,0.20203,6244.16
2021-06-14T01:15:00,0.20146,6244.2
2021-06-14T01:18:00,0.20203,6244.29
2021-06-14T01:21:00,0.20146,6244.31
2021-06-14T01:24:00,0.20165,6244.05
2021-06-14T01:27:00,0.20184,6244.3
2021-06-14T01:30:00,0.20241,6243.37
2021-06-14T01:33:00,0.20203,6243.04
2021-06-14T01:36:00,0.20184,6243.13
2021-06-14T01:39:00,0.20259,6243.08
2021-06-14T01:42:00,0.20259,6243.06
2021-06-14T01:45:00,0.20241,6243.13
2021-06-14T01:48:00,0.20203,6240.54
2021-06-14T01:51:00,0.20278,6242.65
2021-06-14T01:54:00,0.20241,6242.84
2021-06-14T01:57:00,0.20278,6242.88
2021-06-14T02:00:00,0.20259,6243.3
2021-06-14T02:03:00,0.20241,6242.82
2021-06-14T02:06:00,0.20222,6243.5
2021-06-14T02:09:00,0.20278,6243.42
2021-06-14T02:12:00,0.20222,6242.83
2021-06-14T02:15:00,0.20241,6242.99
2021-06-14T02:18:00,0.20278,6242.97
2021-06-14T02:21:00,0.20278,6242.93
2021-06-14T02:24:00,0.20259,6243.01
2021-06-14T02:27:00,0.20241,6242.99
2021-06-14T02:30:00,0.20278,6242.47
2021-06-14T02:33:00,0.20316,6243.12
2021-06-14T02:36:00,0.20297,6242.16
2021-06-14T02:39:00,0.20316,6242.1
2021-06-14T02:42:00,0.20259,6242.18
2021-06-14T02:45:00,0.20316,6241.96
2021-06-14T02:48:00,0.20297,6242.62
2021-06-14T02:51:00,0.20297,6242.1
2021-06-14T02:54:00,0.20297,6242.07
2021-06-14T02:57:00,0.20316,6242.05
2021-06-14T03:00:00,0.20335,6242.19
2021-06-14T03:03:00,0.20316,6242.2
2021-06-14T03:06:00,0.20335,6242.14
2021-06-14T03:09:00,0.20316,6242.23
2021-06-14T03:12:00,0.20335,6242.02
2021-06-14T03:15:00,0.20297,6242
2021-06-14T03:18:00,0.20316,6241.97
2021-06-14T03:21:00,0.20335,6241.39
2021-06-14T03:24:00,0.20335,6241.74
2021-06-14T03:27:00,0.20316,6241.5
2021-06-14T03:30:00,0.20316,6241.8
2021-06-14T03:33:00,0.20335,6241.9
2021-06-14T03:36:00,0.20335,6241.59
2021-06-14T03:39:00,0.20335,6241.51
2021-06-14T03:42:00,0.20316,6241.67
2021-06-14T03:45:00,0.20335,6241.05
2021-06-14T03:48:00,0.20316,6241.39
2021-06-14T03:51:00,0.20335,6241
2021-06-14T03:54:00,0.20316,6241.21
2021-06-14T03:57:00,0.20335,6241.13
2021-06-14T04:00:00,0.20335,6240.96
2021-06-14T04:03:00,0.20335,6241.32
2021-06-14T04:06:00,0.20335,6241.03
2021-06-14T04:09:00,0.20335,6241.21
2021-06-14T04:12:00,0.20335,6241.03
2021-06-14T04:15:00,0.20335,6241.51
2021-06-14T04:18:00,0.20335,6240.93
2021-06-14T04:21:00,0.20335,6240.89
2021-06-14T04:24:00,0.20316,6240.81
2021-06-14T04:27:00,0.20335,6240.64
2021-06-14T04:30:00,0.20316,6241.16
2021-06-14T04:33:00,0.20335,6241.16
2021-06-14T04:36:00,0.20335,6241.2
2021-06-14T04:39:00,0.20335,6241.05
2021-06-14T04:42:00,0.20335,6240.72
2021-06-14T04:45:00,0.20335,6240.94
2021-06-14T04:48:00,0.20335,6240.84
2021-06-14T04:51:00,0.20335,6240.96
2021-06-14T04:54:00,0.20335,6240.97
2021-06-14T04:57:00,0.20335,6240.42
2021-06-14T05:00:00,0.20335,6240.54
2021-06-14T05:03:00,0.20354,6240.5
2021-06-14T05:06:00,0.20335,6240.43
2021-06-14T05:09:00,0.20335,6240.82
2021-06-14T05:12:00,0.20335,6240.74
2021-06-14T05:15:00,0.20335,6240.87
2021-06-14T05:18:00,0.20335,6240.32
2021-06-14T05:21:00,0.20335,6240.34
2021-06-14T05:24:00,0.20335,6239.97
2021-06-14T05:27:00,0.20335,6240.35
2021-06-14T05:30:00,0.20335,6239.87
2021-06-14T05:33:00,0.20335,6240.12
2021-06-14T05:36:00,0.20335,6240.29
2021-06-14T05:39:00,0.20335,6240.21
2021-06-14T05:42:00,0.20354,6239.83
2021-06-14T05:45:00,0.20354,6240.11
2021-06-14T05:48:00,0.20335,6239.93
2021-06-14T05:51:00,0.20335,6239.5
2021-06-14T05:54:00,0.20391,6239.76
2021-06-14T05:57:00,0.20372,6239.49
2021-06-14T06:00:00,0.20372,6239.58
2021-06-14T06:03:00,0.20335,6239.34
2021-06-14T06:06:00,0.20335,6239.25
2021-06-14T06:09:00,0.20372,6239.18
2021-06-14T06:12:00,0.20316,6239.7
2021-06-14T06:15:00,0.20354,6239.04
2021-06-14T06:18:00,0.20335,6239.39
2021-06-14T06:21:00,0.20391,6239.54
2021-06-14T06:24:00,0.20372,6239.53
2021-06-14T06:27:00,0.20391,6239.46
2021-06-14T06:30:00,0.20354,6239.4
2021-06-14T06:33:00,0.20335,6239.32
2021-06-14T06:36:00,0.20354,6239.03
2021-06-14T06:39:00,0.20335,6239.01
2021-06-14T06:42:00,0.20391,6238.87
2021-06-14T06:45:00,0.20335,6238.48
2021-06-14T06:48:00,0.20354,6237.93
2021-06-14T06:51:00,0.20372,6238.35
2021-06-14T06:54:00,0.20335,6237.94
2021-06-14T06:57:00,0.20335,6238.01
2021-06-14T07:00:00,0.20335,6237.35
2021-06-14T07:03:00,0.20354,6237.68
2021-06-14T07:06:00,0.20354,6237.57
2021-06-14T07:09:00,0.20335,6236.78
2021-06-14T07:12:00,0.20335,6236.77
2021-06-14T07:15:00,0.20335,6236.47
2021-06-14T07:18:00,0.20354,6236.34
2021-06-14T07:21:00,0.20354,6236.29
2021-06-14T07:24:00,0.20335,6236.04
2021-06-14T07:27:00,0.20335,6235.77
2021-06-14T07:30:00,0.20335,6235.93
2021-06-14T07:33:00,0.20335,6235.15
2021-06-14T07:36:00,0.20335,6235.06
2021-06-14T07:39:00,0.20335,6234.67
2021-06-14T07:42:00,0.20335,6234.96
2021-06-14T07:45:00,0.20354,6234.72
